"SizeKB","Path"
"2258","public\banners\4.jpg"
"1945,24","public\banners\3.jpg"
"1835,45","public\banners\5.jpg"
"1472,47","public\banners\Наруто1.jpg"
"1116,93","public\banners\2.jpg"
"434,77","package-lock.json"
"88,36","components\team\TeamPosts.tsx"
"74,12","app\fonts\ф"
"69,61","app\profile\[handle]\page.tsx"
"67,21","components\team\TeamClientPage.tsx"
"66,27","app\fonts\GeistMonoVF.woff"
"64,71","app\fonts\GeistVF.woff"
"53,28","components\MangaTitlePage.tsx"
"47,46","app\catalog\page.tsx"
"40,6","components\ChapterReader.tsx"
"40,28","components\AddTitleModal.tsx"
"34,03","components\admin\MangaManagement.tsx"
"31,19","app\page.tsx"
"30,69","app\title\[id]\edit\page.tsx"
"29,88","ts-prune.txt"
"29,05","components\admin\TitleSuggestions.tsx"
"28,48","public\loader\final.png"
"28,48","public\logodark.png"
"28,47","components\ChatWindow.tsx"
"27,91","database.types.ts"
"27,56","app\title\[id]\page.tsx"
"27,02","public\logo.png"
"25,32","app\favicon.ico"
"22,35","components\AddChapterButton.tsx"
"18,19","components\teams\CreateTeamDialog.tsx"
"17,73","components\admin\CommentModeration.tsx"
"17,1","app\api\admin\manga-moderation\cleanup\route.ts"
"16,87","lib\storage\publish.ts"
"16,8","components\SimilarTitlesRow.tsx"
"13,62","components\Header.tsx"
"13,28","app\api\moderation\comments\route.ts"
"12,79","components\team\TeamShell.tsx"
"11,96","components\TitleBookmarks.tsx"
"11,95","tree.txt"
"11,8","app\api\admin\title-submissions\route.ts"
"11,32","components\admin\UserManagement.tsx"
"11,05","lib\mod-rules.ts"
"10,82","public\loader\p1.png"
"10,78","components\profile\ProfileModal.tsx"
"10,17","components\auth\AuthModal.tsx"
"9,92","components\MangaComments.tsx"
"9,61","app\api\admin\manga-moderation\route.ts"
"9,53","app\api\auth\register\route.ts"
"9,41","app\api\manga\[id]\bundle\route.ts"
"9,38","components\SuggestEditButton.tsx"
"9,04","components\TitleEditButton.tsx"
"9,02","app\api\catalog\route.ts"
"9,02","app\messages\page.tsx"
"8,8","app\api\chats\[chatId]\messages\route.ts"
"8,67","public\loader\p2.png"
"8,55","components\ReaderSettingsPanel.tsx"
"8,48","app\api\chapters\moderation\reject\route.ts"
"8,38","app\api\chapters\moderation\approve\route.ts"
"8,34","app\api\manga\[id]\comments\[commentId]\report\route.ts"
"8,12","app\api\chapters\route.ts"
"8,08","app\api\title-suggestions\route.ts"
"8",".DS_Store"
"8","app\api\.DS_Store"
"7,98","app\(admin)\admin\ChapterReviewPanel.tsx"
"7,87","lib\auth\route-guards.ts"
"7,69","app\api\admin\mod\comments\route.ts"
"7,68","lib\r2.ts"
"7,5","app\api\manga\[id]\similar\route.ts"
"7,45","components\AddRelatedButton.tsx"
"7,44","components\admin\AdminStats.tsx"
"7,34","components\PageComments.tsx"
"7,33","app\api\teams\[slug]\_utils.ts"
"7,2","app\api\manga\[id]\relations\route.ts"
"7,09","app\api\admin\webp-config\route.ts"
"6,97","repositories\catalog.ts"
"6,91","app\api\teams\[slug]\edit\route.ts"
"6,85","app\api\chapters\start\route.ts"
"6,75","app\api\teams\[slug]\members\route.ts"
"6,59","app\api\teams\[slug]\posts\[postId]\comments\route.ts"
"6,58","app\api\reader\pages\[pageId]\comments\route.ts"
"6,52","app\api\profile\route.ts"
"6,52","app\api\admin\chapters\reject\route.ts"
"6,41","components\manga\MangaSubmissionModal.tsx"
"6,34","components\admin\AdminDashboard.tsx"
"6,32","components\comments\ReportForm.tsx"
"6,27","app\api\teams\[slug]\posts\route.ts"
"6,23","components\TitleComments.tsx"
"6","app\team\.DS_Store"
"5,77","app\api\manga\approve\route.ts"
"5,76","lib\manga\hooks.ts"
"5,62","app\api\chapters\commit\route.ts"
"5,61","app\api\auth\google\callback\route.ts"
"5,6","lib\realtime\sse-broker.ts"
"5,42","components\HeroCarousel.tsx"
"5,39","app\api\manga\[id]\comments\route.ts"
"5,13","components\ui\ImageUpload.tsx"
"5,1","components\SubmitTitleForm.tsx"
"5,09","auth.ts"
"5,04","app\title\[id]\add-chapter\page.tsx"
"4,98","app\api\reader\[mangaId]\volume\[vol]\chapter\[chapter]\pages\route.ts"
"4,71","public\loader\p3.png"
"4,65","app\api\admin\comment-reports\[id]\route.ts"
"4,58","app\api\cron\cleanup-submissions\route.ts"
"4,38","lib\mail.ts"
"4,23","app\api\chats\route.ts"
"4,19","components\RelatedTitlesRow.tsx"
"4,19","app\api\teams\[slug]\posts\[postId]\like\route.ts"
"4,07","app\api\manga\[id]\ratings\route.ts"
"4,03","components\MangaCard.tsx"
"4,02","app\api\manga\[id]\comments\[commentId]\route.ts"
"3,98","lib\auth\server.ts"
"3,95","app\api\chapters\cleanup\[id]\route.ts"
"3,86","app\globals.css"
"3,84","app\api\comments\report\route.ts"
"3,75","lib\taxonomy.ts"
"3,67","app\api\upload\route.ts"
"3,61","components\ChapterLikeButton.tsx"
"3,57","lib\storage\r2.ts"
"3,45","app\api\manga\[id]\library\route.ts"
"3,44","app\api\teams\[slug]\posts\[postId]\route.ts"
"3,41","lib\auth\client.tsx"
"3,38","app\api\manga\[id]\route.ts"
"3,34","app\api\chapters\[id]\route.ts"
"3,2","app\api\title-submissions\route.ts"
"3,2","components\ui\AssembleLogoLoader.tsx"
"3,19","app\api\reader\chapter\[chapterId]\pages\route.ts"
"3,16","app\api\admin\comment-reports\route.ts"
"3,12","app\api\teams\route.ts"
"3,06","app\api\teams\[slug]\follow\route.ts"
"2,96",".env.local"
"2,85","components\team\TeamMembers.tsx"
"2,73","app\api\views\route.ts"
"2,7","components\auth\AuthProvider.tsx"
"2,66","app\api\chats\[chatId]\messages\[messageId]\react\route.ts"
"2,59","app\api\reader\volume\[vol]\chapters\route.ts"
"2,55","app\api\chapters\stream\route.ts"
"2,53","app\api\chats\[chatId]\read\route.ts"
"2,5","app\api\chats\[chatId]\route.ts"
"2,45","app\api\teams\[slug]\route.ts"
"2,43","app\api\reader\comments\[commentId]\route.ts"
"2,43","components\manga\[chapterId]\page.tsx"
"2,43","app\admin\title-suggestions\actions.ts"
"2,42","app\api\chats\[chatId]\reactions\route.ts"
"2,41","app\api\chats\list\route.ts"
"2,39","app\api\views\[slug]\route.ts"
"2,34","app\api\chats\[chatId]\pin\route.ts"
"2,25","lib\db.ts"
"2,24","app\api\teams\[slug]\stats\route.ts"
"2,23","app\api\chats\[chatId]\sse\route.ts"
"2,22","app\api\chapters\latest\route.ts"
"2,22","app\api\page-comments\[pageId]\[commentId]\report\route.ts"
"2,22","app\api\auth\verify\route.ts"
"2,19","package.json"
"2,13","app\api\reader\comments\[commentId]\like\route.ts"
"2,13","app\api\reader\[mangaId]\volume\route.ts"
"2,08","app\api\auth\google\route.ts"
"2,08","app\api\manga\[id]\teams\route.ts"
"2,07","lib\team\roles.ts"
"2,05","app\api\teams\search\route.ts"
"2,05","app\api\teams\[slug]\titles\route.ts"
"2,04","components\CoverUploader.tsx"
"2,01","app\api\dev\login\route.ts"
"2","app\add-title\page.tsx"
"1,97","app\api\auth\whoami\route.ts"
"1,96","app\api\moderation\rules\route.ts"
"1,96","components\ui\CollapsibleText.tsx"
"1,92","app\api\banners\route.ts"
"1,91","app\api\image-proxy.ts"
"1,86","app\api\moderation\banned\route.ts"
"1,85","app\messages\[chatId]\page.tsx"
"1,83","plan.md"
"1,83","lib\reader\settings.ts"
"1,8","app\manga\[id]\chapter\[chapterId]\page.tsx"
"1,78","lib\storage\r2-presign.ts"
"1,77","app\api\chapters\[id]\vote\route.ts"
"1,77","lib\data\chapters.ts"
"1,72","app\api\profile\[handle]\route.ts"
"1,72","app\api\reader\pages\[pageId]\comments\[commentId]\route.ts"
"1,72","app\api\title-submissions\list\route.ts"
"1,71","app\api\auth\login\route.ts"
"1,71","app\api\manga\[id]\chapters\upload\route.ts"
"1,68","components\ProtectedRoute.tsx"
"1,67","app\api\storage\presign\route.ts"
"1,67","components\AuthLoader.tsx"
"1,66","app\auth\verified\page.tsx"
"1,64","lib\slug.ts"
"1,63","app\auth\login\route.ts"
"1,61","lib\auth\email.ts"
"1,6","lib\auth\get-user.ts"
"1,59","app\api\manga\[id]\genres\route.ts"
"1,57","lib\auth\session.ts"
"1,51","app\api\teams\[slug]\member-role\route.ts"
"1,5","app\api\admin\stats\route.ts"
"1,49","app\api\admin\comment-moderation\route.ts"
"1,49","app\api\users\lookup\route.ts"
"1,48","app\api\diag\email\route.ts"
"1,47","app\api\manga\[id]\teams\[teamId]\route.ts"
"1,46","app\api\users\search\route.ts"
"1,46","app\api\teams\[slug]\posts\[postId]\comments\[commentId]\route.ts"
"1,45","lib\wasabi.ts"
"1,45","README.md"
"1,42","app\dev\r2-upload\page.tsx"
"1,37","app\api\dev\r2-tls\route.ts"
"1,37","lib\safeImageSrc.ts"
"1,36","app\api\manga\search\route.ts"
"1,36","app\api\profile\update\route.ts"
"1,35","lib\manga\taxonomy.ts"
"1,34","public\next.svg"
"1,34","app\api\profile\me\route.ts"
"1,33","app\api\teams\[slug]\posts\[postId]\pin\route.ts"
"1,32","app\api\reader\pages\[pageId]\comments\[commentId]\like\route.ts"
"1,32","lib\auth\guards.ts"
"1,29","lib\theme\context.tsx"
"1,28","lib\normalize.ts"
"1,28","lib\admin\guard.ts"
"1,28","app\api\admin\chapters\pending\route.ts"
"1,27","app\api\r2\presign\route.ts"
"1,25","lib\auth.ts"
"1,21","components\ForceReaderDark.tsx"
"1,2","1\2\page.tsx"
"1,19","app\api\manga\list\route.ts"
"1,19","app\api\rpc\is_team_leader_of_manga\route.ts"
"1,18","lib\storage\r2-upload-client.ts"
"1,15","components\team\TeamResources.tsx"
"1,13","app\api\auth\me\route.ts"
"1,13","components\ViewCounter.tsx"
"1,13","app\api\chapters\[id]\metrics\route.ts"
"1,13","app\api\diag\smtp\route.ts"
"1,11","components\admin\SystemSettings.tsx"
"1,11","lib\utils.ts"
"1,11","lib\reader\ui-settings.ts"
"1,08","app\api\manga-comments\route.ts"
"1,08","app\api\upload\delete\route.ts"
"1,08","lib\team\titles.ts"
"1,08","app\api\admin\chapters\publish\route.ts"
"1,07","app\api\auth\refresh\route.ts"
"1,05","app\api\page-comments\route.ts"
"1,05","app\manga\new\route.ts"
"1,04","app\api\profile\by-username\route.ts"
"1,03","app\api\profile\check-username\route.ts"
"1,02","app\api\image-proxy\route.ts"
"1,01","public\globe.svg"
"1","app\api\manga\[id]\library-stats\route.ts"
"0,99","app\api\admin\manga\list\route.ts"
"0,99","lib\auth\navigation.ts"
"0,98","lib\storage\clients.ts"
"0,97","lib\list.ts"
"0,97","app\api\manga\new\route.ts"
"0,94","components\ThemeToggle.tsx"
"0,92","app\api\manga\[id]\tags\route.ts"
"0,92","app\signin\page.tsx"
"0,91","lib\db\users.ts"
"0,9","app\api\debug\title-suggestions"
"0,9","app\api\profiles\lookup\route.ts"
"0,89","1\page.tsx"
"0,89","app\api\chapters\[id]\likes\route.ts"
"0,88","lib\image-webp.ts"
"0,88","app\manga\[id]\v\[vol]\c\[chapter]\page.tsx"
"0,86","app\api\manga\[id]\chapters\route.ts"
"0,86","app\layout.tsx"
"0,85","app\api\db\route.ts"
"0,85","app\api\auth\after\route.ts"
"0,84","lib\http.ts"
"0,82","tsconfig.json"
"0,82","next.config.mjs"
"0,82","app\api\editManga\route.ts"
"0,8","app\manga\[id]\page.tsx"
"0,79","components\team\TeamOverview.tsx"
"0,78","app\api\chapters\[id]\likes\count\route.ts"
"0,77","middleware.ts"
"0,76","app\api\admin\manga\approve\route.ts"
"0,74","app\api\admin\manga\approve\list\route.ts"
"0,73","app\api\moderation\rules\list\route.ts"
"0,73","app\api\manga\update-status\route.ts"
"0,72","lib\auth\permissions.ts"
"0,71","app\api\manga\trending\route.ts"
"0,71","app\data\titles.ts"
"0,71","app\api\health\route.ts"
"0,71","app\api\auth\send-test\route.ts"
"0,71","app\api\admin\title-suggestions\route.ts"
"0,7","app\api\dev\post-ok\route.ts"
"0,69","app\manga\[id]\v\[vol]\c\[chapter]\p\[p]\page.tsx"
"0,66",".eslintrc.json"
"0,66","components\team\TeamTitles.tsx"
"0,66","app\api\session\route.ts"
"0,65","app\api\netdebug\route.ts"
"0,65","app\api\admin\env\route.ts"
"0,62","app\api\ydebug\route.ts"
"0,62","app\api\dev\r2-env\route.ts"
"0,62","lib\wasabi-client.ts"
"0,62","lib\auth\getAuthUser.ts"
"0,6","components\teams\CreateTeamFab.tsx"
"0,58","app\api\dev\r2-ping\route.ts"
"0,56","app\providers.tsx"
"0,55","app\api\chapters\debug\route.ts"
"0,54","lib\abs.ts"
"0,54","types\next-auth.d.ts"
"0,54","components\teams\CreateTeamButton.tsx"
"0,52","app\api\envcheck\route.ts"
"0,48","lib\asList.ts"
"0,43","app\api\auth\logout\route.ts"
"0,42","lib\storage\r2-ping\route.ts"
"0,41","app\me\route.ts"
"0,41","app\api\admin\refresh\home\route.ts"
"0,39","depcheck.txt"
"0,38","public\file.svg"
"0,38","public\window.svg"
"0,37","lib\auth\context\AddTitleModal.tsx"
"0,36","tailwind.config.ts"
"0,36","vercel.json"
"0,35","app\api\admin\refresh\trending\route.ts"
"0,33","lib\public-url.ts"
"0,3","lib\auth\tokens.ts"
"0,29","lib\hash.ts"
"0,29","lib\net\ip.ts"
"0,28","app\title\[id]\layout.tsx"
"0,26","next-env.d.ts"
"0,25","app\admin\layout.tsx"
"0,21","app\team\[slug]\page.tsx"
"0,21","lib\team\format.ts"
"0,18","lib\url.ts"
"0,17","app\api\ping\route.ts"
"0,16","app\admin\manga\page.tsx"
"0,15","app\admin\page.tsx"
"0,12","public\vercel.svg"
"0,12","postcss.config.js"
"0,04",".npmrc"
"0","sizes.csv"
"0","app\api\chats\[chatId]\typing\route.ts"
